coordinates,distance_m,duration_s,status
"('59.40555, 24.65317', '59.40715, 24.63963')",931,112,OK
"('59.41796, 24.58739', '59.41466, 24.58343')",495,114,OK
"('59.43988, 24.73786', '59.4362, 24.72806')",759,100,OK
"('59.40893, 24.63229', '59.40695, 24.64037')",556,50,OK
"('59.49239, 24.8292', '59.49711, 24.82865')",579,40,OK
"('59.43609, 24.58117', '59.43824, 24.57258')",607,50,OK
"('59.3649, 24.6382', '59.36602, 24.6438')",341,27,OK
"('59.43531, 24.75867', '59.4431, 24.76675')",1322,264,OK
"('59.44342, 24.75007', '59.44347, 24.74369')",888,138,OK
"('59.37792, 24.70528', '59.37626, 24.71281')",465,50,OK
"('59.42989, 24.78634', '59.43101, 24.79267')",535,85,OK
"('59.43087, 24.63869', '59.43018, 24.65139')",738,65,OK
"('59.41339, 24.64028', '59.41281, 24.63785')",218,26,OK
"('59.45202, 24.71671', '59.44797, 24.71139')",542,82,OK
"('59.38147, 24.66414', '59.38438, 24.67297')",595,67,OK
"('59.41122, 24.64768', '59.41281, 24.63785')",631,73,OK
"('59.43564, 24.61243', '59.43165, 24.62185')",746,57,OK
"('59.42895, 24.7431', '59.42456, 24.74263')",1782,361,OK
"('59.43587, 24.86653', '59.43945, 24.87618')",792,123,OK
"('59.4577, 24.93757', '59.4562, 24.94652')",535,39,OK
"('59.43306, 24.73439', '59.43217, 24.74137')",500,94,OK
"('59.42781, 24.76492', '59.42796, 24.77531')",628,106,OK
"('59.44676, 24.59104', '59.44205, 24.59492')",577,48,OK
"('59.44291, 24.8471', '59.44216, 24.85441')",538,62,OK
"('59.43126, 24.71241', '59.43335, 24.71944')",463,60,OK
"('59.4358, 24.7564', '59.43618, 24.75149')",1254,234,OK
"('59.41375, 24.64023', '59.41576, 24.63969')",227,29,OK
"('59.38616, 24.67728', '59.38458, 24.6732')",291,26,OK
"('59.39189, 24.70847', '59.38871, 24.70191')",733,67,OK
"('59.43304, 24.74642', '59.4321, 24.73629')",613,87,OK
"('59.42031, 24.80981', '59.42285, 24.81199')",415,70,OK
"('59.45394, 24.70623', '59.45081, 24.70806')",677,97,OK
"('59.44652, 24.89653', '59.44534, 24.89062')",359,23,OK
"('59.40482, 24.6769', '59.40707, 24.68366')",529,83,OK
"('59.4262, 24.80102', '59.42656, 24.79662')",309,52,OK
"('59.45193, 24.58391', '59.45377, 24.5807')",273,24,OK
"('59.4238, 24.85649', '59.4263, 24.86749')",684,58,OK
"('59.45526, 24.68097', '59.4581, 24.67552')",437,39,OK
"('59.43315, 24.77774', '59.43435, 24.76788')",574,87,OK
"('59.38296, 24.67113', '59.38004, 24.66834')",468,52,OK
"('59.38307, 24.70572', '59.38569, 24.71223')",470,40,OK
"('59.45513, 24.68907', '59.45526, 24.68097')",487,47,OK
"('59.42754, 24.77773', '59.42989, 24.78634')",635,107,OK
"('59.42747, 24.72195', '59.42806, 24.74938')",1614,211,OK
"('59.43683, 24.82854', '59.44344, 24.82215')",820,71,OK
"('59.45309, 24.70323', '59.45364, 24.71262')",590,74,OK
"('59.43454, 24.7561', '59.43386, 24.75259')",538,216,OK
"('59.39707, 24.69844', '59.39894, 24.70589')",774,71,OK
"('59.38458, 24.6732', '59.38316, 24.66216')",710,82,OK
"('59.474, 24.93115', '59.47304, 24.94072')",556,55,OK
"('59.46357, 24.8271', '59.46066, 24.81761')",631,47,OK
"('59.40336, 24.66452', '59.40482, 24.6769')",725,101,OK
"('59.41759, 24.69394', '59.42219, 24.69833')",565,52,OK
"('59.44985, 24.73787', '59.44577, 24.74746')",749,78,OK
"('59.42697, 24.83782', '59.43054, 24.83457')",440,76,OK
"('59.43342, 24.82702', '59.43238, 24.81849')",501,57,OK
"('59.43934, 24.59772', '59.43612, 24.60118')",408,35,OK
"('59.47034, 24.83491', '59.46846, 24.83869')",498,59,OK
"('59.48102, 24.89007', '59.48442, 24.88425')",504,35,OK
"('59.45466, 24.68976', '59.45235, 24.69316')",326,35,OK
"('59.38974, 24.71098', '59.39147, 24.71904')",497,43,OK
"('59.41433, 24.71788', '59.41031, 24.71426')",492,56,OK
"('59.37538, 24.63456', '59.37347, 24.63353')",220,19,OK
"('59.42632, 24.85092', '59.43054, 24.84805')",497,63,OK
"('59.41922, 24.64261', '59.41646, 24.63966')",354,34,OK
"('59.3977, 24.71054', '59.40277, 24.70664')",849,139,OK
"('59.38131, 24.6634', '59.37844, 24.65443')",602,47,OK
"('59.42921, 24.61929', '59.43004, 24.6121')",419,31,OK
"('59.43306, 24.73439', '59.43235, 24.74206')",544,98,OK
"('59.42793, 24.7654', '59.43075, 24.75874')",705,115,OK
"('59.40789, 24.72484', '59.4105, 24.73147')",483,65,OK
"('59.37949, 24.63679', '59.38242, 24.63829')",337,30,OK
"('59.40319, 24.68757', '59.40707, 24.68366')",689,103,OK
"('59.42316, 24.79516', '59.4201, 24.79391')",928,144,OK
"('59.43352, 24.75195', '59.43531, 24.75867')",528,186,OK
"('59.38458, 24.6732', '59.38296, 24.67113')",294,53,OK
"('59.42416, 24.78808', '59.42507, 24.79489')",399,35,OK
"('59.41821, 24.65122', '59.41922, 24.64261')",625,79,OK
"('59.44604, 24.71738', '59.44399, 24.72246')",369,35,OK
"('59.45783, 24.67583', '59.45504, 24.68129')",438,42,OK
"('59.42816, 24.77695', '59.43163, 24.76849')",614,79,OK
"('59.42829, 24.70912', '59.42747, 24.72195')",747,98,OK
"('59.4193, 24.83074', '59.42105, 24.82538')",360,30,OK
"('59.43576, 24.75095', '59.43618, 24.75149')",461,94,OK
"('59.4508, 24.72308', '59.45102, 24.72792')",284,25,OK
"('59.42806, 24.74938', '59.43075, 24.75874')",678,89,OK
"('59.4346, 24.75235', '59.43671, 24.75754')",752,185,OK
"('59.39767, 24.72609', '59.39105, 24.72157')",787,66,OK
"('59.42645, 24.63231', '59.42394, 24.6425')",792,90,OK
"('59.37024, 24.63194', '59.37285, 24.6333')",300,27,OK
"('59.44684, 24.69106', '59.44383, 24.68727')",545,110,OK
"('59.45293, 24.80824', '59.45745, 24.8119')",546,36,OK
"('59.43842, 24.71674', '59.44119, 24.71317')",402,45,OK
"('59.45131, 24.84782', '59.45219, 24.83831')",549,45,OK
"('59.41906, 24.75412', '59.42084, 24.76441')",635,48,OK
"('59.41401, 24.67238', '59.4165, 24.67841')",440,34,OK
"('59.44344, 24.82215', '59.44841, 24.82869')",940,89,OK
"('59.43582, 24.829', '59.43495, 24.83821')",665,95,OK
"('59.41567, 24.86108', '59.41613, 24.86524')",267,42,OK
"('59.41905, 24.83109', '59.41647, 24.83879')",522,40,OK
